Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C5, C6",0402,4,100nF,
"C2, C3, C4, C7",0402,4,10uF/6.3V,C15525
"C8, C9",0402,2,"0,1uF",
D1,DS9503P+,1,DS9503P+,C879660
D2,D_SOD-323,1,1N5819WS,C191023
D4,SOT-23-3,1,ESDA5V3L,C502554
J1,PinHeader_1x10_P2.54mm_Horizontal,1,REG1_App_Connector,C706873
"R1, R11, R12, R3, R5, R6",0603,6,10K,C25804
"R10, R9",0603,2,100,C22775
"R2, R4",0603,2,820,C23253
"R7, R8",0603,2,470,C23179
U2,SOT-23-5,1,MIC2090-1YM5,C625685
U3,DS2484R+T,1,DS2484R+T,C124886
U4,CA-IS3643HVW (C7422549),1,CA-IS3643HVW,
U5,CA-IS3020G (C5156914),1,CA-IS3020G,
